a,b,c
23.53219533995847,49.363296458386735,54.68545743391509
61.89808995907187,17.23980301743198,64.25406095073843
76.66799734352865,8.661295310470681,77.15568581201582
58.091421601142684,14.00618201454161,59.75605741902804
17.640447926444626,9.22636133458546,19.907565057583966
97.40807142703744,98.87157854190606,138.7945295121646
51.44479343481012,84.53707631510191,98.96001234567247
10.26513537859314,35.116096526006096,36.585697199378636
89.84505828341538,46.61405520698862,101.21761032938137
68.78690490532634,37.839117391601526,78.50756072780385
37.845173667885796,19.462355872441602,42.55632110577697
18.486212132256664,76.30137590767848,78.50885303202213
73.5996812876083,21.58300305573231,76.69901633359629
16.458454183364665,21.932506580016483,27.421078734950967
38.10683023169579,40.211699497619456,55.39956034838303
96.88644543806826,72.21479635576702,120.83857050763503
44.61608877582294,31.3501505200698,54.529141890214504
41.27827698897298,72.2015475195924,83.16826086556298
50.21284643239851,48.70875600688549,69.95622101415955
44.914519965238746,47.58674044860516,65.4355558563595
35.91821553550141,3.387457360304754,36.07759796082075
12.287610545185732,12.958377103679233,17.857908894137573
2.745627964881844,94.66934629387379,94.70915267613229
9.899494590630091,2.9077937045545963,10.317715705434114
51.95287352920312,43.79716784424345,67.95066577391428
54.507745757369335,16.791143971813177,57.03540009005086
17.60760900654368,41.489393282435984,45.07102894179322
1.2002447127044196,29.92738856695898,29.951446940141675
76.90123618540987,63.73164212309581,99.87753668643693
89.66592428409112,89.31299244369832,126.55745176388658
47.269712132585646,99.11124582061359,109.80648766448915
46.73989860724264,26.3067208848025,53.634519532911135
9.468018169625857,49.00882718046171,49.915012868522105
82.47487096559156,41.51143383027208,92.3325699817569
39.09387196328335,54.783744601417425,67.30222505708801
90.84046420871056,82.63867392235778,122.80529453284903
66.70353856738984,39.367397933319324,77.45420632510269
33.59211946922532,89.62687303728657,95.71523839429432
6.01548858118534,73.23567816074886,73.48231527745406
57.403632243654975,87.89396032892297,104.97868953776795
45.898785445464185,90.61880551295671,101.57985242145132
29.6421360516178,50.95641670650728,58.9509341170251
63.862458972548524,74.75592281994916,98.32019966763005
70.29630902211913,45.90995547144106,83.9600802377116
62.638517283880674,14.732091950374647,64.34763694773345
65.54601734820932,57.600986179736665,87.25911986199478
13.708581119724622,39.97087186932892,42.25631070396918
22.436957554563975,94.50499112871569,97.13192272648543
45.571027849937636,75.13417575010956,87.87413126141358
63.05019948950393,91.77219304388156,111.34389552979411
25.57259217961886,51.601997092782995,57.59100255030024
78.55454312381566,32.40068460205205,84.97423496609468
